"Facility ID","Facility Name","Address","City/Town","State","ZIP Code","County/Parish","Telephone Number","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients' rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Footnote","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
08C0001014,SPINE CARE DELAWARE,4102 OGLETOWN-STANTON RD,NEWARK,DE,19713,,(302) 894-1900,99,1,0,99,91,8,1,95,93,6,1,96,88,10,2,95,3,1776,398,22,10/01/2024,09/30/2025
08C0001015,DELAWARE SURGERY CENTER LLC,200 BANNING ST. STE. 110,DOVER,DE,19904,,(302) 736-3710,98,1,1,99,95,4,1,97,91,7,2,96,93,5,2,96,3,1185,350,30,10/01/2024,09/30/2025
08C0001018,DELAWARE EYE SURGERY CENTER LLC,18791 JOHN J. WILLIAMS HWY,REHOBOTH BEACH,DE,19971,,(302) 645-2300,97,3,0,98,89,9,2,93,86,11,3,94,79,18,3,91,3,395,196,50,10/01/2024,09/30/2025
08C0001019,MID ATLANTIC ENDOSCOPY CENTER LLC,4923 OGLETOWN-STANTON RD. #100,NEWARK,DE,19713,,(302) 993-0310,95,4,1,97,91,7,2,95,83,14,3,94,83,14,3,93,,2732,765,28,10/01/2024,09/30/2025
08C0001021,DELWARE OUTPATIENT CENTER FOR SURGERY,774 CHRISTIANA RD SUITE 2,NEWARK,DE,19713,,(302) 738-0300,98,2,0,99,94,5,1,96,91,7,2,95,89,9,2,96,3,1585,403,26,10/01/2024,09/30/2025
08C0001023,C&S MEDICAL LLC DBA DELAWARE SURGICAL ARTS,537 STANTON CHRISTIANA RD SUITE 109,NEWARK,DE,19713,,(302) 225-0178,97,3,0,98,86,12,2,92,87,12,1,95,86,11,3,94,"3,6",333,77,23,10/01/2024,09/30/2025
08C0001024,ORTHOPAEDICS SPECIALISTS SURGI CENTER LLC,1096 OLD CHURCHMAN'S RD,NEWARK,DE,19713,,(302) 351-4848,96,3,1,98,93,5,2,96,90,8,2,95,89,7,4,94,3,643,215,33,10/01/2024,09/30/2025
08C0001025,EGNM LLC DBA LEWES SURGERY CENTER,17015 OLD ORCHARD RD UNIT 4,LEWES,DE,19958,,(302) 644-3466,97,3,0,99,94,4,2,96,91,7,2,96,87,9,4,94,3,615,306,50,10/01/2024,09/30/2025
08C0001026,ROCKLAND SURGERY CENTER LP,"2710 CENTERVILLE RD, SUITE 100",WILMINGTON,DE,19808,,(302) 992-9390,98,2,0,99,94,5,1,96,89,9,2,95,89,11,0,96,,1000,298,30,10/01/2024,09/30/2025
08C0001028,SEAFORD ENDOSCOPY CENTER LLC,13 FALLON AVE,SEAFORD,DE,19973,,(302) 629-7177,99,1,0,100,96,4,0,98,99,0,1,99,96,3,1,98,3,228,109,48,10/01/2024,09/30/2025
08C0001029,CHRISTIANA SPINE AMBULATORY SURGICAL CENTER LLC,1101 TWIN C LANE SUITE 102,NEWARK,DE,19713,,(302) 996-9527,99,1,0,99,95,3,2,97,95,4,1,97,95,2,3,97,3,1955,723,37,10/01/2024,09/30/2025
08C0001032,CENTER FOR SPINE SURGERY LLC,1219 JEFFERSON STREET,WILMINGTON,DE,19801,,(302) 984-7178,99,1,0,100,95,4,1,97,97,2,1,98,94,4,2,97,,534,256,48,10/01/2024,09/30/2025
09C0001001,MEDSTAR SURGERY CENTER AT LAFAYETTE CENTRE LLC,1133 21ST STREET NORTHWEST SUITE 1000,WASHINGTON,DC,20036,,(202) 223-9040,97,3,0,98,91,7,2,95,87,12,1,94,87,12,1,95,,3006,350,12,10/01/2024,09/30/2025
09C0001002,ENDOSCOPY CENTER OF WASHINGTON DC LP,"2021 K ST NW, SUITE T-115",WASHINGTON,DC,20006,,(202) 775-8692,95,4,1,97,93,5,2,96,80,17,3,93,79,18,3,91,,1827,421,23,10/01/2024,09/30/2025
10C0001002,AMBULATORY SURGERY CENTER GROUP LTD,4500 EAST FLETCHER AVE,TAMPA,FL,33613,,(813) 977-8550,96,4,0,98,90,8,2,94,84,13,3,93,81,15,4,92,3,1063,312,29,10/01/2024,09/30/2025
10C0001004,GALLOWAY ENDOSCOPY CENTER,"7500 SW 87 AVE, STE. 101",MIAMI,FL,33173,,(786) 595-8142,94,5,1,96,86,10,4,91,80,14,6,92,75,22,3,90,3,3660,578,16,10/01/2024,09/30/2025
10C0001006,BELLEAIR SURGERY CENTER LTD,1130 PONCE DE LEON BLVD,CLEARWATER,FL,33756,,(727) 581-4800,98,2,0,99,92,7,1,95,87,11,2,95,85,11,4,93,3,1140,476,42,10/01/2024,09/30/2025
10C0001008,LEE ISLAND COAST SURGERY CENTER,4035 EVANS AVE,FORT MYERS,FL,33901,,(239) 939-7375,99,1,0,99,95,4,1,97,93,7,0,97,93,6,1,97,,786,247,35,10/01/2024,09/30/2025
10C0001011,FLORIDA EYE CLINIC AMBULATORY SURGERY CENTER,160 BOSTON AVE,ALTAMONTE SPRINGS,FL,32701,,(407) 775-7655,95,5,0,97,91,7,2,95,84,14,2,94,80,15,5,90,3,775,238,31,10/01/2024,09/30/2025
10C0001013,NEW PORT RICHEY SURGERY CENTER LTD,"9322 STATE RD 54, SUITE 100",TRINITY,FL,34655,,(727) 848-0446,98,2,0,99,93,5,2,96,93,5,2,96,92,5,3,95,3,1047,341,33,10/01/2024,09/30/2025
10C0001016,ST LUKES SURGICAL CENTER INC,43309 US HWY 19 NORTH,TARPON SPRINGS,FL,34689,,(727) 938-2020,97,2,1,98,86,10,4,91,89,7,4,94,82,12,6,91,"3,6",174,66,38,10/01/2024,09/30/2025
10C0001024,PALM BEACH OUTPATIENT SURGICAL CENTER,2889 10TH AVE N STE 203,PALM SPRINGS,FL,33461,,(561) 227-3101,,,,,,,,,,,,,,,,,1,,,,,
10C0001025,SURGERY CENTER AT UNIVERSITY PARK LLC DBA PREMIER SURGERY CENTER OF SARASOTA,983 SOUTH BENEVA RD,SARASOTA,FL,34232,,(941) 365-5355,97,3,0,99,92,7,1,95,91,7,2,95,89,8,3,95,,957,347,36,10/01/2024,09/30/2025
10C0001029,SURGICARE CENTER INC,4101 EVANS AVE,FORT MYERS,FL,33901,,(239) 335-1836,94,4,2,96,88,7,5,92,81,16,3,91,83,15,2,94,3,602,105,17,10/01/2024,09/30/2025
10C0001032,ORLANDO SURGICARE LTD,88 WEST KALEY ST,ORLANDO,FL,32806,,(407) 423-0573,98,2,0,99,95,5,0,97,87,12,1,95,84,13,3,93,3,822,296,36,10/01/2024,09/30/2025
10C0001037,MANATEE SURGICARE LTD,411 SECOND ST EAST,BRADENTON,FL,34208,,(941) 746-1121,98,2,0,99,95,5,0,98,89,9,2,95,89,9,2,95,3,811,354,44,10/01/2024,09/30/2025
10C0001041,JACKSONVILLE SURGERY CENTER LTD,7021 A.C. SKINNER PARKWAY,JACKSONVILLE,FL,32256,,(904) 281-0021,98,2,0,99,95,4,1,97,91,8,1,96,87,11,2,95,3,1286,331,26,10/01/2024,09/30/2025
10C0001044,WM DARRELL GASKINS LLC DBA GASKINS EYE CARE AND SURGERY CENTER,2335 9TH ST NORTH SUITE 304,NAPLES,FL,34103,,(239) 263-7750,92,8,0,96,87,10,3,92,74,19,7,91,85,12,3,93,"3,10",702,25,4,10/01/2024,09/30/2025
10C0001045,OPHTHALMOLOGY CENTER OF BREVARD LP  DBA ASC OF BREVARD,719 EAST NEW HAVEN AVE,MELBOURNE,FL,32901,,(321) 726-4015,97,3,0,99,94,5,1,96,89,8,3,95,87,9,4,93,,1659,405,24,10/01/2024,09/30/2025
10C0001046,STUART SURGERY CENTER LLC,2096  SOUTHEAST OCEAN BLVD,STUART,FL,34996,,(772) 263-8400,97,3,0,98,93,5,2,96,84,13,3,93,80,18,2,93,3,684,135,20,10/01/2024,09/30/2025
10C0001048,MONTGOMERY EYE CENTER,700 NEAPOLITAN WAY,NAPLES,FL,34103,,(239) 261-8383,94,5,1,96,84,12,4,90,80,15,5,91,78,18,4,91,,1802,565,31,10/01/2024,09/30/2025
10C0001050,EYE CARE AND SURGERY CENTER OF FT LAUDERDALE LLC,2540 NE 9ST,FORT LAUDERDALE,FL,33304,,(305) 755-4689,87,10,3,92,82,12,6,88,71,14,15,87,63,19,18,80,"3,6",440,54,13,10/01/2024,09/30/2025
10C0001055,COLUMBIA EYE AND SPECIALTY SURGERY CENTER LTD,4302 NORTH GOMEZ AVE,TAMPA,FL,33607,,(813) 870-6330,97,3,0,98,93,5,2,96,91,7,2,96,89,9,2,95,3,1652,623,38,10/01/2024,09/30/2025
10C0001058,AKER KASTEN EYE CENTER,1445 NW BOCA RATON BLVD.,BOCA RATON,FL,33432,,(561) 886-1023,97,3,0,98,88,7,5,92,90,7,3,95,88,9,3,94,,532,209,39,10/01/2024,09/30/2025
10C0001061,THE EYE ASSOCIATES,6002 POINTE WEST BLVD,BRADENTON,FL,34209,,(941) 792-2020,98,2,0,99,86,11,3,91,85,14,1,95,84,14,2,94,3,392,128,33,10/01/2024,09/30/2025
10C0001071,CAPE CORAL EYE CENTER PA,4120 DEL PRADO BLVD S,CAPE CORAL,FL,33904,,(239) 542-2020,97,3,0,98,90,7,3,94,88,9,3,95,86,8,6,92,,852,302,35,10/01/2024,09/30/2025
10C0001083,OUTPATIENT SURGICAL SERVICES LTD,301 N.W. 82ND AVE,PLANTATION,FL,33324,,(954) 693-8600,98,2,0,99,94,5,1,96,94,6,0,97,89,9,2,95,3,2211,543,25,10/01/2024,09/30/2025
10C0001085,ST LUCY'S OUTPATIENT SURGERY CENTER INC,21275 OLEAN BLVD,PORT CHARLOTTE,FL,33952,,(941) 625-1325,97,2,1,98,77,15,8,85,68,32,0,92,68,31,1,89,"3,6",189,54,29,10/01/2024,09/30/2025
10C0001088,CENTRAL FLORIDA EYE INSTITUTE PL,3133 SW 32ND AVE.,OCALA,FL,34474,,(352) 237-8400,98,2,0,99,94,5,1,97,94,5,1,97,87,10,3,94,3,374,159,43,10/01/2024,09/30/2025
10C0001089,ST AUGUSTINE ENDOSCOPY CENTER LLC,212 SOUTHPARK CIR EAST,SAINT AUGUSTINE,FL,32086,,(904) 824-6108,99,1,0,99,94,5,1,97,93,5,2,97,94,5,1,98,,1032,283,27,10/01/2024,09/30/2025
10C0001094,CENTRAL FLORIDA SURGICAL CENTER,11140 WEST COLONIAL DR SUITE 3,ORLANDO,FL,34761,,(407) 656-2700,95,4,1,97,92,7,1,95,81,15,4,93,81,15,4,92,3,2379,311,13,10/01/2024,09/30/2025
10C0001096,LARGO SURGERY LLC DBA WEST BAY SURGERY CENTER,1401 WEST BAY DR,LARGO,FL,33770,,(727) 585-9500,97,3,0,98,93,5,2,96,84,12,4,93,87,9,4,93,3,1257,227,18,10/01/2024,09/30/2025
10C0001125,BOYNTON BEACH ASC LLC,1717 W. WOOLBRIGHT RD.,BOYNTON BEACH,FL,33426,,(561) 737-8031,96,3,1,98,87,10,3,92,81,17,2,93,78,19,3,91,3,716,152,22,10/01/2024,09/30/2025
10C0001126,SANTA LUCIA SURGICAL CENTER LLC,2441 SOUTHWEST 37TH AVE,MIAMI,FL,33145,,(305) 442-0066,97,3,0,98,91,7,2,95,80,17,3,91,80,15,5,91,3,1422,121,9,10/01/2024,09/30/2025
10C0001131,KISSIMMEE SURGICARE LTD,2275 NORTH CENTRAL AVE,KISSIMMEE,FL,34741,,(407) 870-0573,98,2,0,99,92,6,2,95,89,9,2,95,83,15,2,93,3,1330,307,23,10/01/2024,09/30/2025
10C0001132,MERRIT ISLAND SURGERY CENTER,220 NORTH SYKES CREEK PARKWAY SUITE 101,MERRITT ISLAND,FL,32953,,(321) 459-0015,99,1,0,99,94,5,1,97,94,5,1,97,91,6,3,95,3,946,293,31,10/01/2024,09/30/2025
10C0001134,ONE DAY SURGERY CENTER,1715 SOUTHEAST TIFFANY AVE,PORT ST. LUCIE,FL,34952,,(772) 335-7005,97,3,0,98,92,7,1,96,91,6,3,96,89,9,2,95,,2138,669,31,10/01/2024,09/30/2025
10C0001137,GASTROINTESTINAL CENTER OF HIALEAH LLC,135 WEST 49TH ST,HIALEAH,FL,33012,,(305) 825-1487,96,3,1,97,92,6,2,95,52,13,35,62,49,15,36,60,"3,6",1303,92,7,10/01/2024,09/30/2025
10C0001141,TALLAHASSEE ENDOSCOPY CENTER,2400 MICCOSUKEE RD,TALLAHASSEE,FL,32308,,(850) 942-4706,97,3,0,98,86,8,6,90,91,9,0,96,96,4,0,99,"3,10",295,36,12,10/01/2024,09/30/2025
10C0001142,BAPTIST SURGERY AND ENDOSCOPY CENTERS LLC,3737 N. PINE ISLAND RD,SUNRISE,FL,33351,,(786) 595-8190,97,2,1,98,94,4,2,96,90,8,2,96,89,8,3,95,3,444,156,35,10/01/2024,09/30/2025
10C0001143,AMBULATORY SURGICAL CARE LLC,1045 NORTH COURTENAY PARKWAY,MERRITT ISLAND,FL,32953,,(321) 452-4448,,,,,,,,,,,,,,,,,1,,,,,
10C0001147,RAND SURGICAL PAVILION CORP,5 WEST SAMPLE RD.,POMPANO BEACH,FL,33064,,(954) 782-1700,96,3,1,98,91,8,1,95,86,10,4,94,82,13,5,92,3,453,177,39,10/01/2024,09/30/2025
10C0001148,MEDICAL CENTER SURGERY ASSOCIATES LP,11377 CORTEZ BLVD,BROOKSVILLE,FL,34613,,(352) 597-3060,99,1,0,99,91,7,2,95,93,5,2,96,91,6,3,96,3,868,364,42,10/01/2024,09/30/2025
10C0001154,MID FLORIDA SURGERY CENTER,17564 HWY 441,MOUNT DORA,FL,32757,,(352) 735-4100,94,5,1,96,85,12,3,91,80,16,4,92,76,19,5,90,,1884,717,38,10/01/2024,09/30/2025
10C0001156,BOCA RATON OUTPATIENT SURGERY AND LASER CENTER LTD,501 GLADES RD,BOCA RATON,FL,33432,,(561) 362-4400,99,1,0,99,94,5,1,96,95,4,1,97,91,6,3,95,3,789,216,27,10/01/2024,09/30/2025
10C0001159,COUNTRYSIDE SURGERY CENTER LTD,3291 N. MCMULLEN BOOTH RD,CLEARWATER,FL,33761,,(727) 725-5800,98,2,0,99,93,5,2,95,92,7,1,96,89,9,2,95,3,773,310,40,10/01/2024,09/30/2025
10C0001160,MAYO CLINIC JACKSONVILLE DBA MAYO CLINIC JACKSONVILLE ASC FOR G.I.,4500 SAN PABLO RD SOUTH,JACKSONVILLE,FL,32224,,(507) 293-0835,98,2,0,99,91,7,2,94,92,5,3,96,92,6,2,96,3,1738,539,31,10/01/2024,09/30/2025
10C0001162,WESTSIDE SURGERY CENTER LTD,2731 PARK ST,JACKSONVILLE,FL,32205,,(904) 389-1077,97,2,1,98,94,5,1,96,90,8,2,95,88,10,2,95,3,966,337,35,10/01/2024,09/30/2025
10C0001163,TALLAHASSEE OUTPATIENT SURGERY CENTER,"3334 CAPITAL MEDICAL BLVD, STE. 500",TALLAHASSEE,FL,32308,,(850) 877-4688,96,4,0,98,94,5,1,96,86,13,1,95,88,9,3,95,3,953,329,35,10/01/2024,09/30/2025
10C0001167,RIVERSIDE PARK SURGICENTER INC,2001 COLLEGE ST.,JACKSONVILLE,FL,32204,,(904) 355-9800,96,4,0,98,92,7,1,95,85,13,2,94,82,15,3,93,,1148,337,29,10/01/2024,09/30/2025
10C0001169,CLEARWATER AMBULATORY SURGICAL CENTERS INC,"401 CORBETT ST, SUITE 220",CLEARWATER,FL,33756,,(727) 443-0100,90,7,3,93,94,3,3,95,69,26,5,89,76,21,3,90,3,594,104,18,10/01/2024,09/30/2025
10C0001173,NORTH PALM BEACH COUNTY SURGERY CENTER LLC,4000 BURNS RD,PALM BEACH GARDENS,FL,33410,,(561) 626-6446,98,2,0,99,93,5,2,95,92,6,2,96,90,8,2,95,3,1176,390,33,10/01/2024,09/30/2025
10C0001174,EYE SURGERY AND LASER CENTER,409 AVE K SOUTHEAST,WINTER HAVEN,FL,33880,,(863) 251-8906,97,2,1,98,92,6,2,95,88,9,3,95,87,10,3,94,,4546,1550,34,10/01/2024,09/30/2025
10C0001175,VENTURE AMBULATORY SURGERY CENTER LLC,"16853 NE 2ND AVE, SUITE 400",NORTH MIAMI BEACH,FL,33162,,(305) 652-2999,95,4,1,97,91,7,2,94,85,11,4,93,81,15,4,91,3,1791,302,17,10/01/2024,09/30/2025
10C0001177,ENDOSCOPY CENTER OF OCALA,1160 SOUTHEAST 18TH PL,OCALA,FL,34471,,(352) 732-8905,96,4,0,98,93,5,2,96,89,9,2,95,89,9,2,95,,1756,642,37,10/01/2024,09/30/2025
10C0001178,NORTH FLORIDA REGIONAL FREESTANDING SURGERY CENTER LP,6705 NW 10TH PL,GAINESVILLE,FL,32605,,(352) 333-4555,98,2,0,99,96,3,1,97,93,6,1,96,91,6,3,96,3,1480,618,42,10/01/2024,09/30/2025
10C0001180,NEW SMYRNA BEACH AMBULATORY CARE CENTER INC,612 PALMETTO ST,NEW SMYRNA BEACH,FL,32168,,(386) 423-5500,96,3,1,98,92,7,1,95,86,11,3,94,83,14,3,92,3,529,126,24,10/01/2024,09/30/2025
10C0001185,VOLUSIA ENDOSCOPY AND SURGERY CENTER,550 MEMORIAL CIR SUITE G,ORMOND BEACH,FL,32174,,(386) 672-0017,98,2,0,99,93,6,1,96,88,9,3,95,86,11,3,94,,1919,604,31,10/01/2024,09/30/2025
10C0001187,CORAL SPRINGS SURGICENTER LTD,967 UNIVERSITY DR,CORAL SPRINGS,FL,33071,,(954) 341-5553,97,2,1,98,93,6,1,96,88,10,2,95,87,10,3,94,3,1212,365,30,10/01/2024,09/30/2025
10C0001189,EMERALD COAST SURGERY CENTER LP,995 MARWALT DR,FORT WALTON BEACH,FL,32547,,(850) 863-7887,98,2,0,99,93,6,1,96,88,9,3,94,87,9,4,94,3,767,197,26,10/01/2024,09/30/2025
10C0001190,NORTHWEST FLORIDA GASTROENTEROLOGY CENTER,204 EAST 19TH ST,PANAMA CITY,FL,32405,,(850) 392-1508,96,4,0,98,90,7,3,94,86,11,3,94,85,13,2,94,,1744,426,24,10/01/2024,09/30/2025
10C0001192,BARKLEY SURGICENTER INC,63 BARKLEY CIR STE. 104,FORT MYERS,FL,33907,,(239) 275-8452,96,3,1,98,85,11,4,91,83,12,5,92,82,14,4,92,,1477,350,24,10/01/2024,09/30/2025
10C0001193,NORTHWEST FLORIDA SURGICAL CENTER INC DBA NORTH FLORIDA SURGERY CENTER,4600 NORTH DAVIS HWY,PENSACOLA,FL,32503,,(850) 494-0048,96,4,0,98,92,6,2,95,91,8,1,96,94,5,1,97,3,593,138,24,10/01/2024,09/30/2025
10C0001194,WINTER PARK SURGERY CENTER LP DBA PHYSICIAN'S SURGICAL CARE CENTER,1245 ORANGE AVE,WINTER PARK,FL,32792,,(407) 647-5100,97,3,0,98,92,7,1,95,87,10,3,94,85,10,5,93,3,1761,336,19,10/01/2024,09/30/2025
10C0001196,BAY AREA ENDOSCOPY CENTER LIMITED PARTNERSHIP,5771 49TH ST NORTH,ST. PETERSBURG,FL,33709,,(727) 443-4299,98,2,0,99,91,6,3,94,88,10,2,95,89,8,3,95,3,1573,348,22,10/01/2024,09/30/2025
10C0001197,SURGICARE OF ST ANDREWS LTD,1350 E. VENICE AVE,VENICE,FL,34285,,(941) 488-2030,99,1,0,99,95,4,1,97,96,3,1,98,96,3,1,98,3,783,425,54,10/01/2024,09/30/2025
10C0001202,PHYSICIANS AMBULATORY SURGERY CENTER INC,300 CLYDE MORRIS BLVD,ORMOND BEACH,FL,32174,,(386) 672-1080,97,3,0,98,92,6,2,95,93,3,4,95,91,6,3,95,3,644,175,27,10/01/2024,09/30/2025
10C0001203,UNIVERSITY SURGERY CENTER LTD,7251 UNIVERSITY BLVD SUITE 100,WINTER PARK,FL,32792,,(407) 677-0066,97,3,0,98,94,5,1,97,89,9,2,95,86,13,1,95,,1514,271,18,10/01/2024,09/30/2025
10C0001204,CITRUS SURGERY CENTER,110 N LECANTO HWY,LECANTO,FL,34461,,(352) 527-1825,98,2,0,99,92,6,2,95,92,6,2,95,92,7,1,97,3,1139,444,39,10/01/2024,09/30/2025
10C0001205,CORAL VIEW SURGERY CENTER LLC,8390 W. FLAGER ST. STE 216,MIAMI,FL,33144,,(305) 226-5574,,,,,,,,,,,,,,,,,1,,,,,
10C0001211,SURGERY CENTER OF CORAL GABLES LLC,1097 S. LE JEJEUNE RD,CORAL GABLES,FL,33134,,(305) 755-4689,,,,,,,,,,,,,,,,,1,,,,,
10C0001214,THE OUTPATIENT CENTER OF BOYNTON BEACH,2351 SOUTH SEACREST BLVD,BOYNTON BEACH,FL,33435,,(561) 732-5900,96,3,1,98,89,7,4,93,85,12,3,93,83,14,3,93,,1066,222,21,10/01/2024,09/30/2025
10C0001217,CITRUS ENDOSCOPY CENTER,6412 W. GULF TO LAKE HWY,CRYSTAL RIVER,FL,34429,,(352) 563-0223,98,2,0,99,93,5,2,96,94,5,1,97,88,10,2,95,,1799,643,36,10/01/2024,09/30/2025
10C0001219,BREVARD SURGERY CENTER,665 SOUTH APOLLO BLVD,MELBOURNE,FL,32901,,(321) 984-3200,89,9,2,94,81,15,4,89,71,19,10,88,68,23,9,86,3,676,183,27,10/01/2024,09/30/2025
10C0001223,NORTHWEST FLORIDA SURGERY CENTER,767 AIRPORT RD.,PANAMA CITY,FL,32405,,(850) 747-0400,97,3,0,99,90,7,3,94,87,12,1,95,88,10,2,95,3,762,130,17,10/01/2024,09/30/2025
10C0001227,WIREGRASS RANCH ASC HOLDINGS LLC DBA WIREGRASS RANCH SPECIAL PROCEDURES CENTER,38135 MARKET SQUARE DRIVE SUITE 115,ZEPHYRHILLS,FL,33542,,(813) 780-8266,97,3,0,98,94,4,2,96,89,8,3,95,90,9,1,96,3,870,254,29,10/01/2024,09/30/2025
10C0001228,MELBOURNE SURGERY CENTER LLC,"95 BULLDOG BLVD, SUITE",MELBOURNE,FL,32901,,(321) 729-9493,98,2,0,99,95,4,1,97,87,10,3,95,86,11,3,94,3,722,240,33,10/01/2024,09/30/2025
10C0001229,MIAMI ASC LP,5101 SOUTHWEST 8TH ST,MIAMI,FL,33134,,(305) 461-1881,,,,,,,,,,,,,,,,,1,,,,,
10C0001234,WEST FLORIDA MEDICAL CENTER CLINIC PA,8333 N. DAVIS HWY,PENSACOLA,FL,32514,,(850) 474-8625,98,1,1,98,94,6,0,97,89,9,2,95,92,7,1,96,3,867,201,23,10/01/2024,09/30/2025
10C0001236,DELRAY BEACH SURGERY CENTER,4800 LINTON BOULEVARD BUILDING B,DELRAY BEACH,FL,33445,,(561) 495-9111,97,2,1,98,89,8,3,93,86,12,2,94,83,15,2,93,,949,282,30,10/01/2024,09/30/2025
10C0001238,ST JOHNS SURGERY CENTER INC,8901 CONFERENCE DR,FORT MYERS,FL,33919,,(239) 481-8833,98,2,0,99,89,8,3,93,91,8,1,95,85,14,1,94,"3,6",212,83,39,10/01/2024,09/30/2025
10C0001242,BRADENTON SURGERY CENTER INC,2902 59TH ST WEST SUITES F AND G,BRADENTON,FL,34209,,(941) 792-9685,98,2,0,99,95,4,1,97,91,7,2,96,91,6,3,95,,671,246,37,10/01/2024,09/30/2025
10C0001244,LAKE SURGERY AND ENDOSCOPY CENTER LTD,"8100 COUNTY RD 44, LEG A",LEESBURG,FL,34788,,(352) 323-8868,91,7,2,94,83,14,3,90,64,24,12,86,68,23,9,86,"3,6",385,73,19,10/01/2024,09/30/2025
10C0001245,SURGICARE OF CENTRAL FLORIDA LTD,900 GRIFFIN RD,LAKELAND,FL,33805,,(863) 686-3344,96,4,0,98,89,7,4,93,89,8,3,94,86,11,3,94,3,1798,106,6,10/01/2024,09/30/2025
10C0001246,SURGERY CENTER OCALA,3241 SOUTHWEST 34TH ST,OCALA,FL,34474,,(352) 237-5906,,,,,,,,,,,,,,,,,1,,,,,
10C0001249,AMBULATORY SURGICAL FACILITY OF S. FLORIDA LLLP,501 NORTH FLAMINGO RD,PEMBROKE PINES,FL,33028,,(954) 430-1700,98,2,0,99,93,6,1,96,91,7,2,96,87,9,4,94,,2034,532,26,10/01/2024,09/30/2025
10C0001250,PINELLAS SURGERY CENTER LTD DBA CENTER FOR SPECIAL SURGERY,4650 4TH ST NORTH,SAINT PETERSBURG,FL,33703,,(727) 527-1919,96,3,1,98,87,10,3,92,85,10,5,93,82,13,5,92,3,1241,228,18,10/01/2024,09/30/2025
10C0001252,ENDOSCOPY GROUP LLC,4810 N. DAVIS HWY,PENSACOLA,FL,32503,,(850) 474-8988,94,3,3,95,90,9,1,95,91,9,0,96,89,7,4,94,"3,6",270,52,19,10/01/2024,09/30/2025
10C0001253,BERAJA HEALTHCARE CORPORATION,2550 SOUTH DOUGLAS RD,CORAL GABLES,FL,33134,,(305) 443-7070,96,3,1,98,89,9,2,93,81,12,7,93,74,19,7,88,"3,10",564,38,7,10/01/2024,09/30/2025
10C0001254,OCALA EYE SURGERY CENTER INC,3330 SW 33RD RD.,OCALA,FL,34474,,(352) 873-9311,98,2,0,99,93,6,1,96,91,7,2,96,91,9,0,97,3,361,179,50,10/01/2024,09/30/2025
10C0001255,GULFSHORE ENDOSCOPY INC,1084 GOODLETTE RD,NAPLES,FL,34102,,(239) 649-1186,96,3,1,98,90,8,2,94,78,19,3,92,79,18,3,92,,1343,353,26,10/01/2024,09/30/2025
10C0001257,SURGICAL CENTER OF NORTH FLORIDA LLC,6520 NORTHWEST BLVD,GAINESVILLE,FL,32605,,(352) 745-7202,,,,,,,,,,,,,,,,,1,,,,,
10C0001260,DOCTORS SAME DAY SURGERY CENTER LTD,"5741 BEE RIDGE RD, SUITE 100",SARASOTA,FL,34233,,(941) 342-1303,97,3,0,99,93,5,2,95,88,9,3,95,84,12,4,92,3,1116,466,42,10/01/2024,09/30/2025
10C0001262,NORTH FLORIDA SURGERY CENTER INC,256 SW PROFESSIONAL GLEN,LAKE CITY,FL,32025,,(386) 758-8937,98,2,0,99,96,3,1,97,92,7,1,96,91,7,2,96,3,580,142,24,10/01/2024,09/30/2025
10C0001263,BHS AMBULATORY SURGERY CENTER AT BAPTIST LTD,"8940 N. KENDALL DR, STE. 201E",MIAMI,FL,33176,,(786) 595-8142,97,3,0,98,94,5,1,96,90,7,3,96,89,10,1,96,3,907,257,28,10/01/2024,09/30/2025
10C0001264,TREASURE COAST CENTER FOR SURGERY,1155 SOUTHEAST MONTEREY ROAD EXTENSION,STUART,FL,34994,,(772) 286-8028,98,2,0,99,93,6,1,96,93,6,1,96,89,9,2,95,,788,293,37,10/01/2024,09/30/2025
10C0001267,NORTHPOINT SURGERY CTR,200 NORTHPOINT PKWY,WEST PALM BEACH,FL,33407,,(561) 615-0110,97,2,1,98,89,8,3,93,94,5,1,97,88,11,1,96,"3,6",391,70,18,10/01/2024,09/30/2025
10C0001268,RIVERSIDE SURGERY CENTER INC,14410 US HWY 1,SEBASTIAN,FL,32958,,(772) 589-8111,97,3,0,99,96,3,1,98,85,12,3,95,84,13,3,94,3,461,167,36,10/01/2024,09/30/2025
